2020-05-24 14:09:28: == 同步开始由 User Command
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/flex_array.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/flex_array.h' (3,594)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/icmp.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/icmp.h' (268)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/icmpv6.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/icmpv6.h' (265)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/if.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/if.h' (96)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/if_arp.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/if_arp.h' (330)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/if_ether.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/if_ether.h' (288)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/if_link.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/if_link.h' (4,415)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/if_vlan.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/if_vlan.h' (6,315)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/in.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/in.h' (1,084)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/ip.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/ip.h' (414)
